Date,Close,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_lag_4,percent_change_Close_lag_5,percent_change_Close_lag_1-5,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
1990-10-16,2.01851892,6.12712666,-7.96138128,-15.59709516,-0.19840608,-0.03917274,2.0,0.0,0,0,1.24606461,1.12352208,-37.5357962,0,65.0,2.29355696,0.07063557,0.09513257,-7.79813151,-32.25277879,-0.05390949,-0.00456607,0.14364737,-0.04782623,0.02678596,0.01357484,0.00454532,-0.05733631220536906,-0.08625345,2.07936512,2.31790126,0,1,2.24027784,0,-0.41566006,35.48388794,0,0,0,0,-43673.7087965,3.0,3.0,6.0,14.4296101,-5.22000573,0.11405677,0.0,2.0,0,0,0.0,-21537.71799965
1990-10-17,2.07407403,5.89923079,-4.9984873,-13.31101842,-0.20934525,-0.37215828,2.0,0.0,0,0,1.21254145,1.09455683,-35.81661221,0,66.0,5.35713403,0.07182532,0.09577727,-4.82094718,-32.5656372,-0.03827166,0.02752271,0.13334962,-0.00456607,-0.04782623,0.02678596,0.01357484,0.00454532,-0.00748618,2.05820111,2.30092596,0,1,2.21851859,0,-0.3580742,41.93547583,0,0,0,0,451721.33821249,3.0,4.0,7.0,10.81204337,-1.64308231,0.22919953,1.0,0.0,0,0,0.0,223788.50784205
1990-10-18,2.15740705,5.42611297,-0.88120655,-9.87972627,-0.21733249,-0.82370535,2.0,0.0,0,0,1.16388936,1.0553671,-33.23782516,0,67.0,4.72099072,0.07353524,0.09515394,-0.6409539,-32.80714997,-0.03950609,0.04017842,0.12771053,0.02752271,-0.00456607,-0.04782623,0.02678596,0.01357484,0.0154912,2.07539684,2.2895062,0,1,2.20694449,0,-0.27313744,44.89793988,0,0,0,0,649010.02421379,3.0,5.0,7.0,6.03231426,2.18822119,0.40302788,2.0,0.0,0,0,0.0,312915.55404994
1990-10-19,2.23148108,4.97924838,3.05435226,-6.85812084,-0.2304432,-4.46610252,2.0,0.0,1,0,1.12342339,1.02383842,-30.94556263,0,68.0,2.48964956,0.07481954,0.09384936,3.40060835,-33.21660435,-0.03436209,0.03433475,0.1238577,0.04017842,0.02752271,-0.00456607,-0.04782623,0.02678596,0.04209478,2.10185187,2.28055557,0,1,2.2013889,0,-0.19757169,40.65930428,0,0,0,0,812999.51541423,3.0,6.0,7.0,2.84324841,5.48742686,0.56073942,3.0,0.0,1,0,8.55851222,376841.04034105
1990-10-22,2.33333302,4.70521234,8.08822531,-2.70709885,-0.23952612,1.64809839,2.0,0.0,1,0,1.07487634,0.98077209,-27.79369704,0,69.0,5.15875205,0.07412004,0.09272414,8.97639623,-33.74133715,-0.02674895,0.0456432,0.12595747,0.03433475,0.04017842,0.02752271,-0.00456607,-0.04782623,0.04964357,2.13888887,2.27469137,0,1,2.2037037,0,-0.09482384,44.89793988,0,0,0,0,1070025.9276867,4.0,7.0,7.0,-1.15559241,9.03105433,0.75728787,4.0,0.0,0,0,0.0,479513.78102059
1990-10-23,2.31481504,4.5714265,7.23040749,-3.58471101,-0.24214958,-0.10605761,3.0,0.0,1,0,1.08289417,0.99146564,-28.36674607,0,70.0,3.19999778,0.07039297,0.09102296,8.13265324,-33.75428071,0.01687244,-0.00793627,0.12636787,0.0456432,0.03433475,0.04017842,0.02752271,-0.00456607,0.12950119807199945,2.16534386,2.2712963,0,1,2.20416665,0,-0.11285884,50.0,0,0,0,0,-120496.43754959,4.0,7.0,7.0,0.04790417,7.89054769,0.71890136,0.0,1.0,0,0,0.0,-51641.33741397
1990-10-24,2.27777791,4.61672368,5.579408,-5.22117767,-0.24584883,-0.22834114,4.0,0.0,1,0,1.10125526,1.00892078,-29.51288102,0,71.0,3.25203039,0.06406169,0.08853745,6.57504622,-33.86151686,0.02098774,-0.01600004,0.12663271,-0.00793627,0.0456432,0.03433475,0.04017842,0.02752271,0.12950119807199945,2.20105815,2.26574077,0,1,2.2046296,0,-0.14945942,48.88892068,0,0,0,0,-165200.43325424,3.0,6.0,7.0,1.89937739,6.16815774,0.64441037,0.0,2.0,0,0,0.0,-71366.58008754
1990-10-25,2.32407403,4.46784024,7.49464658,-3.39713885,-0.24376548,0.34326914,5.0,0.0,1,0,1.07984443,0.99048762,-28.08022155,0,72.0,4.382474,0.0548976,0.08636354,8.74364733,-33.86300698,0.01995886,0.02032512,0.12942408,-0.01600004,-0.00793627,0.0456432,0.03433475,0.04017842,0.09622005,2.24470888,2.26265434,0,1,2.21018515,0,-0.10258117,53.84617126,0,0,0,0,302311.34676933,3.0,6.0,8.0,0.30442937,7.69433808,0.71999167,1.0,0.0,0,0,0.0,132722.04696132
1990-10-26,2.22222209,4.73214233,2.78372164,-7.72188984,-0.24614202,-0.62857199,6.0,0.0,1,0,1.13100205,1.0363592,-31.23208715,0,73.0,2.91666644,0.04197022,0.08471323,4.06347575,-33.91734001,0.01316863,-0.04382474,0.12912303,0.02032512,-0.01600004,-0.00793627,0.0456432,0.03433475,0.07636676,2.26587289,2.2564815,0,1,2.20879625,0,-0.2038687,50.0,0,0,0,0,-485100.42057037,2.0,5.0,8.0,4.40054891,3.09944521,0.52599428,0.0,1.0,0,0,0.0,-208728.47178046
1990-10-29,2.14814806,4.58743618,-1.00579338,-10.87549858,-0.24030428,-1.36131248,6.0,0.0,0,0,1.16790027,1.07615155,-33.52434968,0,74.0,6.8549739358289195,0.03448593,0.0815068,-0.13145868,-33.43684663,0.03786004,-0.03333332,0.12250227,-0.04382474,0.02032512,-0.01600004,-0.00793627,0.0456432,-0.00179273,2.26455017,2.24598767,0,1,2.1967592,0,-0.27666004,56.97675324,0,0,0,0,-554599.66943264,1.0,5.0,8.0,7.95620951,0.49869392,0.40079543,0.0,2.0,0,0,0.0,-249569.86612021
