Date,Close,Level_Distance,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_lag_4,percent_change_Close_lag_5,percent_change_Close_lag_1-5,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
2013-05-09,16.56999969,0.69746031,3.31781484,-5.86246162,-12.68722744,-1.3758454,-0.03644242,9.0,0.0,0,0,1.17848595,1.11212966,-30.71777499,0,165.0,4.74753702,0.04769645,0.18851601,-5.20969412,-26.91001009,-0.07800001,0.00100683,0.48719072,-0.05804251,-0.02152925,-0.00937673,0.03011357,0.02167181,-0.03716312,17.37333325,17.67744446,0,1,17.51400003,0,-2.18083172,46.52776646,0,0,0,0,66493.98536682,2.0,5.0,9.0,9.16274755,-2.78886485,1.0,0.0,0,0,0.0,4016.95442435
2013-05-10,16.57666779,0.69706681,3.2992439,-5.61391871,-12.63843445,-1.4121644,-0.04239566,9.0,0.0,0,0,1.17766057,1.11167569,-30.68989448,0,166.0,1.9505352,0.0554423,0.16343643,-4.97954361,-27.05770088,-0.07022243,0.00040242,0.52727098,0.00100683,-0.05804251,-0.02152925,-0.00937673,0.03011357,-0.0578281,17.28047616,17.60111116,0,1,17.45700006,0,-2.16324705,44.00000166,0,0,0,0,16225.46539307,2.0,6.0,9.0,8.15701525,-2.57920912,2.0,0.0,0,0,0.0,979.20734411
2013-05-13,16.76000023,0.67982441,3.1083076,-4.20250243,-11.6317274,-1.47084531,-0.25141374,8.0,0.0,0,0,1.16271094,1.10054479,-29.92334772,0,167.0,2.40652541,0.06547777,0.13699507,-3.74255536,-27.19871949,-0.13303689,0.01105967,0.54811547,0.00040242,0.00100683,-0.05804251,-0.02152925,-0.00937673,-0.08753924,17.16047614,17.54488894,0,1,17.43316669,0,-1.9738309,38.74303293,0,0,0,0,258498.7449646,3.0,6.0,9.0,6.4921213,-1.13596811,3.0,0.0,0,0,0.0,15594.13196351
2013-05-14,17.42000008,0.70245124,3.04521253,-0.19234676,-8.09780356,-1.50136189,-0.95423042,7.0,0.0,0,0,1.1185654,1.05766115,-27.16376662,0,168.0,3.75048026,0.08099047,0.10572739,0.3176547,-27.39440171,-0.16333321,0.03937947,0.5477665,0.01105967,0.00040242,0.00100683,-0.05804251,-0.02152925,-0.06710285,17.0590477,17.51577784,0,1,17.42833338,0,-1.30635904,43.58975111,0,0,0,0,1525589.64729309,4.0,6.0,9.0,2.87280063,3.08850944,4.0,0.0,0,0,0.0,91025.63403693
2013-05-15,17.54333305,0.71249628,3.01158917,0.72451714,-7.38810136,-1.52570714,-4.76672388,7.0,0.0,1,0,1.10989075,1.04965897,-26.64808869,0,169.0,2.01405582,0.09672095,0.08992425,1.22370565,-27.53484884,0.00229615,0.00707996,0.54763942,0.03937947,0.01105967,0.00040242,0.00100683,-0.05804251,-0.00619413,16.99952398,17.5044445,0,1,17.43983335,0,-1.17740962,44.48448919,0,0,0,0,265511.23352051,5.0,7.0,9.0,2.18727668,3.65319949,5.0,0.0,0,0,0.0,15241.74697805
2013-05-16,18.03000069,0.76668975,3.27496402,3.45082361,-4.79458934,-1.50942859,3.76292888,7.0,0.0,1,0,1.08311011,1.01761083,-24.61324156,0,170.0,5.17656303,0.09899735,0.08602593,3.63461809,-27.25716577,-0.07362972,0.02774089,0.55888426,0.00707996,0.03937947,0.01105967,0.00040242,0.00100683,0.05892835,17.06476212,17.51622232,0,1,17.48299999,0,-0.68575321,51.62381581,0,0,0,0,2207086.38267517,5.0,7.0,10.0,-0.03266221,6.14213426,6.0,0.0,1,0,4.30004131,125807.70004954
2013-05-17,18.80999947,1.41249465,3.34295197,7.57938571,-0.68839096,-1.45562143,1.19639905,7.0,0.0,1,0,1.04036115,0.97350211,-21.35192279,0,171.0,3.73914365,0.09471053,0.0854618,7.68877811,-26.96724897,-0.18185166,0.04326116,0.61463838,0.02774089,0.00707996,0.03937947,0.01105967,0.00040242,0.0856624,17.387143,17.5542223,0,1,17.57833328,0,0.09488734,57.0828399,0,0,0,0,2302790.39611816,5.0,7.0,10.0,-3.02892699,9.8297237,6.92972802034477,0.0,0,0,0.0,127719.92836494
2013-05-20,18.09000015,0.89676205,3.72081269,3.43757283,-4.46566185,-1.44679043,-0.54645759,7.0,0.0,1,0,1.08395218,1.00953592,-24.36237272,0,172.0,4.64345022,0.0907556,0.08557086,3.45654148,-26.88946857,-0.12896275,-0.03827748,0.61512628,0.04326116,0.02774089,0.00707996,0.03937947,0.01105967,0.12852115,17.60428592,17.58166676,0,1,17.62649994,0,-0.62356103,50.4523739,0,0,0,0,-1393414.67113495,4.0,7.0,9.0,1.03296644,5.92795087,0.0,1.0,0,0,0.0,-74078.40035604
2013-05-21,17.54333305,0.91690453,3.74311208,0.18219241,-7.32368454,-1.41825479,-0.9469997,8.0,0.0,1,0,1.11645546,1.04159322,-26.64808869,0,173.0,3.21110827,0.08949747,0.08558082,0.26812395,-26.84423681,-0.04014821,-0.0302193,0.61511488,-0.03827748,0.04326116,0.02774089,0.00707996,0.03937947,0.079184,17.74238096,17.5781112,0,1,17.61849995,0,-1.16593151,52.63741654,0,0,0,0,-1137340.89946747,3.0,7.0,9.0,4.2388415,3.16699256,0.0,2.0,0,0,0.0,-62871.24874926
2013-05-22,17.40333366,0.94766112,3.76501438,-0.53749344,-8.03986122,-1.42748574,-3.95014181,7.0,0.0,0,0,1.12507782,1.04977753,-27.23345196,0,174.0,2.93047435,0.08865832,0.08559976,-0.4944569,-26.87186485,0.18585188,-0.0079802,0.60996811,-0.0302193,-0.03827748,0.04326116,0.02774089,0.00707996,0.00958524,17.83428574,17.5503334,0,1,17.58850002,0,-1.2982866,48.29578135,0,0,0,0,-400468.25408936,2.0,7.0,8.0,4.69074541,2.25752266,0.0,3.0,0,0,0.0,-22827.37566836
2013-05-23,17.37000084,1.00448343,3.7283754,-0.41904549,-8.19432561,-1.47730468,-0.22037096,6.0,0.0,0,0,1.12654104,1.05197353,-27.37282265,0,175.0,2.45632891,0.08492158,0.0853488,-0.53701179,-26.98070041,0.20103713,-0.00191531,0.60164186,-0.0079802,-0.0302193,-0.03827748,0.04326116,0.02774089,-0.00547493,17.82714299,17.52755566,0,1,17.5543334,0,-1.32768287,42.79394403,0,0,0,0,-48499.25994873,1.0,6.0,7.0,4.66649486,2.11353751,0.0,4.0,0,0,0.0,-2786.77987133
2013-05-24,17.45999908,1.03074692,3.67506634,0.30227423,-7.6991443,-1.50901896,-1.72133989,6.0,0.0,1,0,1.12016424,1.04666291,-26.99652339,0,176.0,1.81367453,0.07498106,0.08413291,0.18539776,-27.13161973,0.21733314,0.00518125,0.5972892,-0.00191531,-0.0079802,-0.0302193,-0.03827748,0.04326116,-0.03513113,17.81523814,17.51900005,0,1,17.53383331,0,-1.23501198,45.18613192,0,0,0,0,93445.17803192,1.0,6.0,8.0,3.85908261,2.4938962,1.0,0.0,0,0,0.0,5379.68759454
2013-05-28,17.92666626,0.72562679,3.54619342,2.83403866,-5.20692366,-1.47874759,8.37572045,7.0,0.0,1,0,1.0903913,1.01946743,-25.04530185,0,177.0,1.69206795,0.05357969,0.08114905,2.89215095,-27.15217103,0.19622218,0.02672779,0.59349874,0.00518125,-0.00191531,-0.0079802,-0.0302193,-0.03827748,-0.07321105,17.80047607,17.54200001,0,1,17.529,0,-0.76646938,53.3501836,0,0,0,0,512120.5581665,2.0,6.0,9.0,0.98387735,4.49141701,2.0,0.0,1,0,3.84244408,29331.07588888
2013-05-29,18.25333214,0.79951936,3.28837559,3.98360862,-3.42705865,-1.34703577,0.4056296,8.0,0.0,1,0,1.06837049,1.00260298,-23.67945156,0,178.0,3.57925698,0.06832711,0.0833195,3.62000755,-26.34574129,0.07548146,0.01822234,0.60526027,0.02672779,0.00518125,-0.00191531,-0.0079802,-0.0302193,-0.00820578,17.72095217,17.56655553,0,1,17.53999996,0,-0.43596881,68.55895524,0,0,0,0,1126213.28201294,3.0,6.0,10.0,-0.29291707,6.06214362,3.0,0.0,0,0,0.0,62823.35297002
2013-05-30,18.12999916,0.64424012,3.12951499,2.62955292,-4.02084148,-1.22404056,-0.33990681,9.0,0.0,1,0,1.07318801,1.01059771,-24.19512949,0,179.0,1.80180806,0.11991941,0.11135936,1.7517781,-25.50020066,0.06659262,-0.00675674,0.61428526,0.01822234,0.02672779,0.00518125,-0.00191531,-0.0079802,0.04023586,17.72666631,17.59377772,0,1,17.58516655,0,-0.55259025,66.64296723,0,0,0,0,-867536.49559021,3.0,5.0,9.0,0.69950237,5.25746839,0.0,1.0,0,0,0.0,-47527.56861205
2013-05-31,16.17333221,1.35092894,4.45324478,-8.29711343,-14.28251506,-1.23151691,-4.15533237,9.0,0.0,0,0,1.21115557,1.12209068,-32.37631489,0,180.0,7.13107661,0.12420727,0.11591756,-6.78924364,-27.45077097,-0.02851872,-0.07151721616531233,0.69057064,-0.00675674,0.01822234,0.02672779,0.00518125,-0.00191531,0.04145933,17.53095191,17.56066653,0,1,17.51383314,0,-2.43021996,46.96130675,0,0,0,0,-32592592.65975952,3.0,4.0,8.0,13.23848059,-4.03054638,0.0,2.0,0,1,-12.1651065,-1368208.5674566831
2013-06-03,15.27666664,2.01396689,5.04504223,-12.85770442,-18.91380249,-1.3093193,0.54965995,9.0,0.0,0,0,1.28370593,1.18280509,-36.12543904,0,181.0,7.26598699,0.15084247,0.13749863,-10.90159396,-28.3100969,-0.24311108,-0.05544099,0.8360007,-0.07162026821337371,-0.00675674,0.01822234,0.02672779,0.00518125,-0.06454963,17.22714233,17.5064443,0,1,17.37116652,0,-3.28662792,39.90928799,0,0,0,0,-6205822.43156433,2.0,3.0,7.0,18.63417615,-8.52827417,0.0,3.0,0,0,0.0,-383707.10187082
