Date,Close,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2008-05-28,44.90000153,8.0607694,-12.18953183,3.65828654,7.81745738,-0.25348225,6.0,2.0,0,1,1.0453159,0.88410052,-43.02753088,0,103.0,5.79064228,0.9212228,1.48912931,-12.16821963,-35.13456191,-1.08711116,0.03337171,4.11533607,-0.04062707,-0.1001843710595066,0.00318415,0.06888638,47.94857189,51.4023337,0,1,51.67400036,0,-1.48398466,27.27274141,0,1,0,0,1223655.6438446,2.0,5.0,6.0,16.8815507,-4.8137024,1.0,0.0,5.0,3.0,0,0,0.0,28162.38486441
2008-05-29,44.77999878,7.74740015,-11.15583299,3.22479217,7.0218073,-0.08480218,5.0,3.0,0,1,1.04623352,0.89128552,-43.17979931,0,104.0,2.97007158,1.16313772,1.37423697,-11.47305829,-35.81592271,-0.89288864,-0.00267267,4.39157238,0.03337171,0.01478826,-0.0586259,-0.03526676,46.7185718,51.26233368,0,1,51.38400021,0,-1.59828428,28.34746764,0,1,0,0,-70105.60455322,2.0,5.0,6.0,15.9117799,-4.25478255,0.0,1.0,5.0,3.0,0,0,0.0,-1561.37198599
2008-05-30,46.95000076,7.47299588,-5.90778199,8.01633171,6.43220732,-0.47043112,4.0,4.0,0,1,1.00051589,0.85105597,-40.42633902,0,105.0,6.13418748,1.39515384,1.34495165,-6.33811645,-36.3949787,-1.22866694,0.04845918,4.49714615,-0.00267267,-0.04062707,-0.10023349535443996,0.01113383,45.774286,51.16000036,0,1,51.21900024,0,0.57257809,35.74022775,0,0,0,0,2682122.45178222,3.0,5.0,7.0,10.17942362,1.14031767,1.0,0.0,5.0,3.0,0,0,0.0,59895.54544209
2008-06-02,46.33000183,7.40186862,-6.3553911,6.37247986,5.91978613,0.07576602,4.0,5.0,0,1,1.01411146,0.86607409,-41.21303989,0,106.0,6.04359837,1.59136885,1.38045481,-7.09684446,-36.72232146,-1.44288898,-0.01320551,4.6225092,0.04845918,0.03337171,0.01478826,0.0038539,45.19000081,51.02933375,0,1,51.03600025,0,-0.04949114,37.46301641,0,0,0,0,-447267.22946167,2.0,4.0,7.0,10.34805864,-0.36117031,0.0,1.0,5.0,3.0,0,0,0.0,-9526.45840668
2008-06-03,45.47000122,7.47588659,-6.69402565,4.19018002,5.09079331,0.05328304,3.0,6.0,0,1,1.03454222,0.88502448,-42.30427277,0,107.0,8.53310087,1.81474187,1.57369479,-7.28134068,-37.77333748,-1.33777754,-0.0185625,4.62703294,-0.01320551,-0.00267267,-0.04062707,-0.02394884,45.31000083,50.81700045,0,1,50.50950031,0,-0.9077002,25.1554429,0,1,0,0,-471108.33435059,2.0,4.0,6.0,11.45372424,-1.84129531,0.0,2.0,5.0,3.0,0,0,0.0,-10168.53692492
2008-06-04,46.27999878,6.93604205,-3.96063439,5.883292,4.48007184,-0.40833295,2.0,7.0,0,1,1.01379649,0.87507565,-41.27648749,0,108.0,5.72601901,2.10906301,1.88734209,-3.22048851,-39.32237143,-1.55155572,0.01781389,4.60605461,-0.0185625,0.04845918,0.03337171,0.00318415,45.45142909,50.67566706,0,1,50.08600025,0,-0.0967581,30.73418311,0,0,0,0,378835.8581543,2.0,4.0,7.0,9.10007588,0.44882671,1.0,0.0,5.0,3.0,0,0,0.0,8331.55592663
2008-06-05,47.88000107,6.71470416,0.34280025,9.32617803,3.92087893,-1.08655185,2.0,8.0,1,1,0.98184105,0.84754697,-39.2462853,0,109.0,2.92397973,2.32768748,2.17158076,0.95482143,-39.82088836,-1.01555506,0.03457222,4.40728313,0.01781389,-0.01320551,-0.00267267,-0.0586259,46.08428628,50.55833371,0,1,49.67750034,0,1.50012745,34.07229354,0,0,0,0,977441.39823913,3.0,5.0,7.0,5.70931864,4.19043463,2.0,0.0,5.0,3.0,0,0,0.0,21120.16905835
2008-06-06,44.5,7.60192687,-5.29468181,1.42924035,3.11490745,-16.44538483,1.0,9.0,0,1,1.06192826,0.90988972,-43.53508263,0,110.0,7.82022369,2.49175066,2.43132717,-5.14035821,-40.47529982,0.21466658,-0.07059317,4.36507523,0.03457222,-0.0185625,0.04845918,-0.10028781788091826,46.02714321,50.314667,0,1,49.15250034,0,-1.87576695,28.67893674,0,1,0,0,-2868606.9065094,2.0,5.0,6.0,13.47400807,-1.74885255,0.0,1.0,5.0,3.0,0,0,0.0,-59912.42361145
2008-06-09,40.40999985,8.76551139,-12.26797046,-8.00677996,2.13356462,1.3170364,1.0,9.0,0,0,1.17469175,0.99938152,-48.72477972,0,111.0,11.75451625,2.65796077,2.72222323,-11.88532379,-41.80853578,0.06511103,-0.09191012,4.6197568,-0.07059317,0.01781389,-0.01320551,0.01478826,45.40285764,49.93166695,0,1,48.47200031,0,-5.92642463,25.69289239,0,1,0,0,-6856067.25578308,2.0,4.0,6.0,24.31610436,-9.1656238,0.0,2.0,5.0,3.0,0,0,0.0,-154068.92709625
2008-06-10,38.75,9.36036914,-13.89435656,-11.87353474,1.03195738,0.13257173,1.0,9.0,0,0,1.2283366,1.04112921,-50.83111128,0,112.0,6.19355232,2.77718313,3.02864337,-13.73245559,-43.0041865,0.36555549,-0.04107894,5.00811586,-0.09191012,0.03457222,-0.0185625,-0.04062707,44.23142896,49.49000028,0,1,47.7965004,0,-7.53228075,23.73182319,0,1,0,0,-2370313.78211975,2.0,4.0,5.0,27.13029324,-12.21217728,0.0,3.0,5.0,3.0,0,1,-12.72522822,-58656.61447835
2008-06-11,37.86000061,9.02007407,-14.16078215,-13.97448654,0.0955147,0.01917509,1.0,9.0,0,0,1.25264658,1.0722451,-51.96040885,0,113.0,4.86001089,2.84127038,3.31466396,-14.12561096,-44.05830227,-0.06111137,-0.02296773,5.099315,-0.04107894,-0.07059317,0.01781389,0.03337171,43.02142879,49.089667,0,1,46.8965004,0,-8.39969231,25.79029226,0,1,0,0,-530617.6361084,1.0,3.0,5.0,26.48409775,-14.20200277,0.0,4.0,5.0,4.0,0,0,0.0,-13693.35835118
