Date,Close,Level_Distance,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_lag_4,percent_change_Close_lag_5,percent_change_Close_lag_1-5,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
1990-10-16,6.55555582,0.31515148,2.62308289,-2.24851819,-25.98477542,-2.15068769,0.91124614,0.0,0.0,0,0,1.37730421,1.32484256,-36.55913527,0,97.0,3.38982471,0.0916134,0.14697193,-3.16627155,-34.48474437,-0.03786009,-0.01666667,0.26866125,0.02857154,0.0,-0.02777789,0.0,-0.01639345,-0.01559979,6.61375672,6.95925924,0,1,6.86111114,0,-2.18450552,24.13798002,0,1,0,0,-6375.00303984,1.0,2.0,3.0,5.32986639,-2.33116494,0.0,1.0,0,0,0.0,-956.25041038
1990-10-17,6.51851892,0.32457905,2.43506594,-2.41583742,-26.26882058,-2.16103157,0.07441311,0.0,0.0,0,0,1.38062898,1.33192766,-36.91755685,0,98.0,2.27274041,0.06755269,0.14623885,-3.3569197,-34.72637363,-0.01975307,-0.0056497,0.25845035,-0.01666667,0.02857154,0.0,-0.02777789,0.0,-0.01587302,6.57671969,6.93950617,0,1,6.82222228,0,-2.21793289,29.16672478,0,1,0,0,-1962.5110321,1.0,2.0,3.0,5.44177389,-2.55715281,0.0,2.0,0,0,0.0,-299.36607755
1990-10-18,6.81481504,0.42199758,2.48447298,2.01980341,-22.78640073,-2.14603157,-1.83606761,1.0,0.0,1,0,1.31995338,1.27026392,-34.05017496,0,99.0,3.26086401,0.07273577,0.14618068,1.686571,-35.14401716,-0.02469134,0.04545452,0.22878543,-0.0056497,-0.01666667,0.02857154,0.0,-0.02777789,-0.02152271,6.5978837,6.93333333,0,1,6.79629638,0,-1.91353241,50.0,0,0,0,0,39399.97651577,2.0,3.0,4.0,1.40876181,2.3537849,1.0,0.0,0,0,0.0,6044.31420248
1990-10-19,6.85185194,0.43608287,2.50965334,2.5336495,-22.23950097,-2.12894164,0.25440401,2.0,0.0,1,0,1.31109651,1.26090344,-33.69175338,0,100.0,2.16216085,0.07532168,0.14372964,2.32502199,-35.19840472,-0.02304524,0.00543476,0.20195954,0.04545452,-0.0056497,-0.01666667,0.02857154,0.0,0.05170969,6.62433869,6.92839506,0,1,6.77592602,0,-1.87285779,51.61289519,0,0,0,0,2324.99113083,3.0,4.0,5.0,0.95684614,2.78536255,2.0,0.0,0,0,0.0,341.16716531
1990-10-22,7.11111116,0.4564531,2.60416773,6.11922513,-19.1800129,-2.09764534,1.41518218,3.0,0.0,1,0,1.26335937,1.21127602,-31.18279307,0,101.0,4.16666415,0.076245,0.13888147,6.2802344,-35.24928947,-0.02880663,0.03783783,0.1946045,0.00543476,0.04545452,-0.0056497,-0.01666667,0.02857154,0.05714445,6.71428585,6.92469138,0,1,6.77222233,0,-1.60638915,59.45944817,0,0,0,0,35962.62473011,3.0,4.0,5.0,-2.05236733,6.13891029,3.0,0.0,0,0,0.0,5248.59921729
1990-10-23,7.0,0.34753064,2.60771099,4.17322655,-20.31872471,-2.06542312,-0.31801389,4.0,0.0,1,0,1.2810771,1.22892288,-32.25806243,0,102.0,1.58730234,0.07284404,0.12874625,4.34156658,-35.07674861,0.00329214,-0.01562501,0.18195032,0.03783783,0.00543476,0.04545452,-0.0056497,-0.01666667,0.06641074,6.78835998,6.91975311,0,1,6.76481493,0,-1.71313922,59.45944817,0,0,0,0,-9525.00454187,3.0,4.0,5.0,-0.06941136,4.58712065,0.0,1.0,0,0,0.0,-1339.45375372
1990-10-24,7.0370369,0.32558914,2.44360991,4.3956007,-19.78383973,-2.0318517,0.0532859,5.0,0.0,1,0,1.2710677,1.2221955,-31.89964085,0,103.0,1.57894138,0.06801842,0.1116328,4.59109667,-34.88895201,0.01069954,0.00529099,0.17515735,-0.01562501,0.03783783,0.00543476,0.04545452,-0.0056497,0.06745241,6.84126997,6.91111113,0,1,6.76111121,0,-1.67355062,60.52629974,0,0,0,0,1824.99303818,4.0,5.0,6.0,-0.26393362,4.87932261,1.0,0.0,0,0,0.0,260.71329117
1990-10-25,7.0370369,0.36471241,2.40601607,4.0688541,-19.66343321,-1.99753954,-0.07433491,6.0,0.0,1,0,1.26882334,1.22070302,-31.89964085,0,104.0,2.10526195,0.06076171,0.08871152,4.21904784,-34.65651379,0.0600824,0.0,0.18376649,0.00529099,-0.01562501,0.03783783,0.00543476,0.04545452,0.07839309,6.91005298,6.90370372,0,1,6.76851861,0,-1.67020988,60.52629974,0,0,0,0,0.0,3.0,5.0,6.0,-0.07974595,4.57367635,0.0,0.0,0,0,0.0,0.0
1990-10-26,6.88888884,0.35603691,2.49616063,1.75849772,-21.23817004,-1.9766401,-0.567815,7.0,0.0,1,0,1.29461215,1.24468893,-33.3333318,0,105.0,1.07527165,0.05194074,0.08274493,1.94494185,-34.6052222,0.07242809,-0.02105262,0.18548707,0.0,0.00529099,-0.01562501,0.03783783,0.00543476,0.03293857,6.96296297,6.89382718,0,1,6.7722223,0,-1.81602346,53.6585205,0,0,0,0,-6399.9961853,2.0,5.0,5.0,2.15265391,2.5619891,0.0,1.0,0,1,-3.62694256,-909.47316038
1990-10-29,6.88888884,0.35603033,2.41935601,1.52046655,-21.12293818,-1.94798934,-0.13536053,8.0,0.0,1,0,1.29198926,1.24360214,-33.3333318,0,106.0,1.61290401,0.04552348,0.07615897,1.78972351,-34.50550222,0.04032917,0.0,0.18711468,-0.02105262,0.0,0.00529099,-0.01562501,0.03783783,0.00645119,6.97354494,6.88518521,0,1,6.77592599,0,-1.81392762,57.89471901,0,0,0,0,0.0,1.0,4.0,5.0,2.17214606,2.54249695,0.0,0.0,0,0,0.0,0.0
