Date,Close,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
1990-10-16,0.29296899,6.57141523,-11.292832013053275,-33.63709361,-0.08655419,-0.0650791,5.0,0.0,0,0,1.460027198139228,1.3812432329086592,-46.04314525,0,150.0,5.33332899,0.02159879,0.02127063,-10.08865292,-39.98882622,-0.01293398,0.0,0.04071894,0.02739896,-0.06306900326157765,-0.06315912433356108,0.01941628,0.31696429,0.37070323,0,1,0.3580079,0,-0.1436729,28.88878038,0,1,0,0,0.0,1.0,1.0,4.0,15.106611515758326,-9.321480362704989,0.0,0.0,3.0,5.0,0,0,0.0,0.0
1990-10-17,0.29296899,6.575946061363598,-11.292832013053275,-33.48406846,-0.09083992,-0.07172026,5.0,0.0,0,0,1.460027198139228,1.3812432329086592,-46.04314525,0,151.0,4.00007812,0.02436105,0.02326674,-8.7571997,-40.86453443,-0.01380213,0.0,0.04259287,0.0,0.0,-0.05555759,-0.01904647,0.30468757,0.36614593,0,1,0.3533204,0,-0.14265069,28.88878038,0,1,0,0,0.0,1.0,1.0,4.0,15.106611515758326,-9.321480362704989,0.0,0.0,3.0,5.0,0,0,0.0,0.0
1990-10-18,0.3125,6.33929048,-9.23825913,-28.89523082,-0.09518425,-0.42977447,4.0,0.0,0,0,1.460027198139228,1.34298252,-42.44606844,0,152.0,7.652313683439402,0.02660052,0.02510326,-1.59806262,-41.51138373,-0.01623269,0.06475259702705374,0.04352173,0.0,0.02739896,-0.06315912433356108,0.0,0.29910714,0.36302093,1,0,0.35097665,0,-0.12163678,28.88879244,0,1,0,0,351058.21456909,2.0,2.0,4.0,15.106611515758326,-3.65459913,1.0,0.0,3.0,5.0,0,0,0.0,1198277.73056825
1990-10-19,0.32421899,6.28228308,-4.28330063,-26.08092296,-0.0998857,-0.53635197,3.0,0.0,0,0,1.41565357,1.29000791,-40.28775209,0,153.0,4.81927356,0.02825642,0.02676222,3.40195681,-42.25230378,-0.01302078,0.03750076,0.04391118,0.0647614521112911,0.0,0.0,-0.05825358,0.29799114,0.36054697,0,1,0.34941415,0,-0.10902358,27.27272727,0,1,0,0,151615.58456421,3.0,3.0,4.0,10.91237036,0.76513414,2.0,0.0,3.0,5.0,0,0,0.0,485169.87060547
1990-10-22,0.328125,6.12247039,-1.4249948,-25.0301448,-0.10480756,-0.66731385,2.0,0.0,0,0,1.39509416,1.27264475,-39.56837186,0,154.0,3.57151031,0.02918158,0.02828651,5.70871122,-42.83193179,-0.01423605,0.01204745,0.04416876,0.03750076,0.0,0.02739896,0.0,0.30412957,0.35846363,0,1,0.3484376,0,-0.10466424,25.58150098,0,1,0,0,26598.37646484,3.0,4.0,4.0,9.09063343,2.17315314,3.0,0.0,3.0,5.0,0,0,0.0,82038.30563589
1990-10-23,0.31640601,6.575946061363598,-3.15977122,-27.55575144,-0.11002802,1.2173914,1.0,0.0,0,0,1.44650972,1.31423394,-41.7266882,0,155.0,4.93827533,0.02929706,0.02959969,2.428173,-43.10812144,-0.00928829,-0.03571501,0.04425732,0.01204745,0.06492191780725666,0.0,-0.06320666669034194,0.30859385,0.35585947,0,1,0.3455079,0,-0.11612183,25.0,0,1,0,0,-41138.33694458,3.0,4.0,4.0,12.8641266,-0.32843506,0.0,1.0,3.0,5.0,0,0,0.0,-125373.97925967
1990-10-24,0.30468801,6.575946061363598,-4.71189486,-30.0761041,-0.11598782,0.49121393,0.0,0.0,0,0,1.460027198139228,1.35961339,-43.88482342,0,156.0,3.8462257,0.02852179,0.0306523,-0.95116493,-43.34594996,-0.00572911,-0.03703471,0.04484853,-0.03571501,0.03750076,0.0,-0.05555759,0.310268,0.3528647,0,1,0.3423829,0,-0.12732432,23.40435859,0,1,0,0,-74920.23639679,3.0,4.0,4.0,15.106611515758326,-3.61214747,0.0,2.0,3.0,5.0,0,0,0.0,-236785.12308389
1990-10-25,0.30078101,6.575946061363598,-4.26296501,-30.81457783,-0.12057208,-0.09527586,0.0,0.0,0,0,1.460027198139228,1.37860055,-44.60438478,0,157.0,2.5975731,0.02680224,0.03147971,-1.60197611,-43.70251248,0.00407993,-0.01282294,0.04537061,-0.03703471,0.01204745,0.06497933237306724,-0.06320666669034194,0.311384,0.3500001,0,1,0.33906255,0,-0.13101412,26.19054539,0,1,0,0,-10164.43834305,2.0,4.0,4.0,15.106611515758326,-3.75081787,0.0,3.0,3.0,5.0,0,0,0.0,-33360.15242331
1990-10-26,0.28906301,6.575946061363598,-6.07420601,-33.36625347,-0.12605194,0.42487823,0.0,0.0,0,0,1.460027198139228,1.3812432329086592,-46.76252,0,158.0,5.40539593,0.02376721,0.03196685,-5.03162948,-43.94188327,0.00442715,-0.03895859,0.04522653,-0.01282294,-0.03571501,0.03750076,0.0,0.310826,0.3466147,0,1,0.33417975,0,-0.14243949,24.44461738,0,1,0,0,-38547.54905701,1.0,4.0,4.0,15.106611515758326,-7.19887861,0.0,4.0,3.0,5.0,0,0,0.0,-128158.18676297
1990-10-29,0.28906301,6.575946061363598,-4.69167405,-33.23399002,-0.12965685,-0.22760703,0.0,0.0,0,0,1.460027198139228,1.3812432329086592,-46.76252,0,159.0,5.40539593,0.01942959,0.0320519,-4.14521431,-44.46027956,0.00277776,0.0,0.04329268,-0.03895859,-0.03703471,0.01204745,0.02739896,0.30747786,0.3433595,0,1,0.3285157,0,-0.14226882,28.94743605,0,1,0,0,0.0,0.0,3.0,4.0,15.106611515758326,-6.72862389,0.0,0.0,3.0,5.0,0,0,0.0,0.0
