Date,Close,ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_lag_4,percent_change_Close_lag_5,percent_change_Close_lag_1-5,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
1990-10-16,27.15909195,3.67603026,3.94532931,4.41676551,0.11796766,0.07468014,12.0,2.0,1,1,0.99446091,0.92094031,-7.7543807,0,198.0,1.25522625,0.82790476,0.84984881,0.47743911,-8.19270464,-0.21969694,0.0127119,1.4615002,0.0172414,0.02654867,-0.02586206,0.00432899,-0.03749996,-0.01524296,26.55844143,25.33333327,0,1,25.4999999,0,1.10359288,67.77779995,0,0,0,0,937.50238419,4.0,6.0,8.0,-0.24948587,8.9395348,0.78379949,3.0,0.0,0,0,0.0,34.95771579
1990-10-17,27.38636398,3.6751617,3.71964496,5.32379954,0.40215461,-0.05720292,13.0,3.0,1,1,0.98620464,0.91270141,-6.98245322,0,199.0,0.82987298,0.7784534,0.89580407,0.96901853,-7.87515999,0.09848476,0.00836817,1.5054815,0.0127119,0.0172414,0.02654867,-0.02586206,0.00432899,0.03496889,26.57467542,25.42424234,0,1,25.63636351,0,1.3091501,68.4782809,0,0,0,0,7199.97802734,4.0,7.0,9.0,-0.5164337,9.23012244,0.79060478,4.0,0.0,0,0,0.0,265.10378332
1990-10-18,27.5,3.68949147,3.01003397,5.80033865,0.70407307,-0.19077385,14.0,4.0,1,1,0.98207147,0.90828164,-6.59648948,0,200.0,0.82645069,0.65688906,0.9335814,0.92060777,-7.44852555,0.05050477,0.00414936,1.52078666,0.00836817,0.0127119,0.0172414,0.02654867,-0.02586206,0.03900807,26.75324685,25.52272714,0,1,25.8011363,0,1.41758306,69.56522215,0,0,0,0,812.49752045,5.0,7.0,10.0,-1.23651543,8.29309289,0.77927384,5.0,0.0,0,0,0.0,29.66795888
1990-10-19,27.5,3.15820521,2.44935001,5.83146483,0.8578217,-0.18627164,14.0,5.0,1,1,0.97648062,0.91331652,-6.59648948,0,201.0,0.82645069,0.45959171,0.95314034,0.56638763,-7.12253595,-0.10353512,0.0,1.50231809,0.00414936,0.00836817,0.0127119,0.0172414,0.02654867,0.0690195,26.91558456,25.60984834,0,1,25.97727261,0,1.40273557,62.16217442,0,0,0,0,0.0,4.0,6.0,9.0,-1.68863727,6.93338931,0.7533963,0.0,0.0,0,0,0.0,0.0
1990-10-22,27.5,2.5974021,2.48033883,5.86471432,0.85786599,0.01265185,14.0,6.0,1,1,0.97057582,0.91862778,-6.59648948,0,202.0,1.23966564,0.43737841,0.94565152,1.21896515,-7.72133425,-0.09848459,0.0,1.46144228,0.0,0.00414936,0.00836817,0.0127119,0.0172414,0.04247084,27.17532485,25.6780302,0,1,26.15340891,0,1.39977419,49.09091131,0,0,0,0,0.0,3.0,6.0,8.0,-1.89789899,5.9029822,0.73035311,0.0,0.0,0,0,0.0,0.0
1990-10-23,27.15909195,2.33114098,0.93514702,4.58790817,0.93975063,-0.6229761,14.0,7.0,1,1,0.97944488,0.93282206,-7.7543807,0,203.0,0.8368175,0.4114388,0.92799132,-0.30178869,-7.47515117,0.1338384,-0.01239666,1.37277656,0.0,0.0,0.00414936,0.00836817,0.0127119,0.02522944,27.28896141,25.74621207,0,1,26.31818171,0,1.05623718,60.00001492,0,0,0,0,-1649.9949646,2.0,6.0,8.0,-0.40990851,4.46526295,0.65314041,0.0,1.0,0,1,-2.44897221,-59.99981689
1990-10-24,26.81818199,2.2397092,-0.42194015,3.31700995,0.97463839,-1.45120194,13.0,8.0,0,1,0.99029192,0.94549774,-8.91227841,0,204.0,0.84746215,0.36709831,0.87796908,-1.53445403,-7.49279792,0.12878799,-0.01255233,1.20739434,-0.01239666,0.0,0.0,0.00414936,0.00836817,0.00012088,27.28896141,25.78787874,0,1,26.4829545,0,0.71192592,53.33332587,0,0,0,0,-3075.00782013,1.0,5.0,7.0,0.77454113,2.9412331,0.56941135,0.0,2.0,0,1,-2.0746894,-113.22204092
1990-10-25,26.47727394,2.08461039,-1.47991142,2.05382282,0.93057864,2.50739655,12.0,9.0,0,1,1.00072121,0.959029,-10.07016963,0,205.0,1.71673288,0.32768815,0.79730584,-2.41833675,-7.84146594,0.29040413,-0.01271183,0.98672326,-0.01255233,-0.01239666,0.0,0.0,0.00414936,-0.02079962,27.19155884,25.8295454,0,1,26.6306819,0,0.36680539,41.4634356,0,0,0,0,-5812.48226166,0.0,5.0,6.0,2.20250729,1.85823623,0.46113197,0.0,3.0,0,0,0.0,-216.7366253
1990-10-26,26.13636398,2.14285631,-2.45380149,0.78798004,0.86180661,0.65807322,11.0,10.0,0,1,1.01361037,0.97075324,-11.22806733,0,206.0,1.7391251,0.28391732,0.65702751,-3.54451365,-7.96590632,0.15656581,-0.01287557,0.64858716,-0.01271183,-0.01255233,-0.01239666,0.0,0.0,-0.03766081,27.01298741,25.8674242,0,1,26.7670455,0,0.02583086,38.63637491,0,0,0,0,-262.50066757,0.0,4.0,6.0,3.09375281,0.41795222,0.25690179,0.0,4.0,0,0,0.0,-9.91418785
1990-10-29,26.13636398,1.98757676,-2.42424212,0.83618433,0.86608644,-0.01204635,10.0,11.0,0,1,1.01158326,0.97183173,-11.22806733,0,207.0,1.7391251,0.23875773,0.46350519,-3.87914512,-7.64550234,0.05050511,0.0,0.5913631,-0.01287557,-0.01271183,-0.01255233,-0.01239666,0.0,-0.05053638,26.81818226,25.9128788,0,1,26.80113649,0,0.02583086,48.57143268,0,0,0,0,0.0,0.0,3.0,6.0,2.91616666,0.49520422,0.21896602,0.0,0.0,0,0,0.0,0.0
